date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
1946-12-09,1947,0,,PIT,DTF,1234.9664,1320.2988,0.5210958419686329,0.4789041580313671,1225.3917,1329.8735,,,,,,,,,,,58,66,0,"",""
1946-12-10,1947,0,,CLR,STB,1315.6875,1334.5652,0.6146681213698251,0.38533187863017493,1310.3738,1339.8789,,,,,,,,,,,61,62,1,"",""
1946-12-10,1947,0,,TRH,PHW,1261.624,1308.3997,0.5760023186484481,0.4239976813515519,1247.6229,1322.4008,,,,,,,,,,,73,85,0,"",""
1946-12-11,1947,0,,CHS,CLR,1312.6069,1310.3738,0.6430211385494775,0.3569788614505225,1319.0311,1303.9496,,,,,,,,,,,88,79,0,"",""
1946-12-11,1947,0,,NYK,PRO,1364.1929,1256.0878,0.7681597660570199,0.23184023394298015,1369.5447,1250.736,,,,,,,,,,,83,68,0,"",""
1946-12-11,1947,0,,WSC,DTF,1385.5331,1329.8735,0.7101368301286023,0.2898631698713977,1392.4739,1322.9327,,,,,,,,,,,81,66,3,"",""
1946-12-12,1947,0,,BOS,DTF,1206.0377,1322.9327,0.4757052870540828,0.5242947129459172,1214.9801,1313.9904,,,,,,,,,,,73,66,0,"",""
1946-12-12,1947,0,,PHW,WSC,1322.4008,1392.4739,0.5429620712375273,0.45703792876247273,1307.4219,1407.4528,,,,,,,,,,,49,64,2,"",""
1946-12-12,1947,0,,STB,CHS,1339.8789,1319.0311,0.6672239170349065,0.33277608296509353,1315.6809,1343.2291,,,,,,,,,,,68,88,1,"",""
1946-12-13,1947,0,,TRH,PIT,1247.6229,1225.3917,0.668989739055481,0.331010260944519,1232.2332,1240.7815,,,,,,,,,,,52,62,0,"",""
1946-12-14,1947,0,,BOS,PHW,1214.9801,1307.4219,0.5108754086242974,0.48912459137570263,1226.2948,1296.1072,,,,,,,,,,,77,65,0,"",""
1946-12-14,1947,0,,PRO,DTF,1250.736,1313.9904,0.5526848769876164,0.44731512301238363,1262.4368,1302.2896,,,,,,,,,,,81,66,0,"",""
1946-12-14,1947,0,,WSC,CLR,1407.4528,1303.9496,0.7634085609361496,0.23659143906385038,1414.1184,1297.2839,,,,,,,,,,,72,52,2,"",""
1946-12-15,1947,0,,CLR,NYK,1297.2839,1369.5447,0.5398353116435519,0.4601646883564481,1310.9967,1355.8319,,,,,,,,,,,70,52,1,"",""
1946-12-15,1947,0,,CHS,PIT,1343.2291,1240.7815,0.7623092881305875,0.23769071186941249,1347.2114,1236.7992,,,,,,,,,,,84,75,0,"",""
1946-12-15,1947,0,,STB,TRH,1315.6809,1232.2332,0.741927284041563,0.25807271595843695,1304.6824,1243.2317,,,,,,,,,,,46,50,0,"",""
1946-12-16,1947,0,,PIT,STB,1236.7992,1304.6824,0.5460885884626925,0.4539114115373075,1224.4557,1317.0259,,,,,,,,,,,55,66,0,"",""
1946-12-17,1947,0,,CLR,TRH,1310.9967,1243.2317,0.724268171777772,0.27573182822222797,1317.8322,1236.3962,,,,,,,,,,,78,62,0,"",""
1946-12-17,1947,0,,PHW,DTF,1296.1072,1302.2896,0.6318257977992993,0.36817420220070074,1302.3259,1296.0708,,,,,,,,,,,57,49,0,"",""
1946-12-18,1947,0,,NYK,CLR,1355.8319,1317.8322,0.6887731984741471,0.3112268015258529,1347.1748,1326.4893,,,,,,,,,,,53,56,1,"",""
1946-12-18,1947,0,,WSC,STB,1414.1184,1317.0259,0.7566786444953556,0.2433213555046444,1421.2426,1309.9017,,,,,,,,,,,68,47,3,"",""
1946-12-19,1947,0,,BOS,STB,1226.2948,1309.9017,0.5235740759861337,0.4764259240138663,1221.1678,1315.0287,,,,,,,,,,,74,76,0,"",""
1946-12-19,1947,0,,PHW,CLR,1302.3259,1326.4893,0.6074367924041434,0.3925632075958566,1311.8464,1316.9688,,,,,,,,,,,58,44,0,"",""
1946-12-19,1947,0,,PRO,CHS,1262.4368,1347.2114,0.5218970967471482,0.47810290325285176,1268.4114,1341.2368,,,,,,,,,,,81,77,0,"",""
1946-12-20,1947,0,,TRH,NYK,1236.3962,1347.1748,0.4844933221558091,0.5155066778441909,1242.9735,1340.5975,,,,,,,,,,,74,70,0,"",""
1946-12-21,1947,0,,PRO,NYK,1268.4114,1340.5975,0.5399421293949943,0.4600578706050057,1272.7605,1336.2484,,,,,,,,,,,63,61,0,"",""
1946-12-21,1947,0,,WSC,PHW,1421.2426,1311.8464,0.7694807248034484,0.23051927519655158,1425.8375,1307.2515,,,,,,,,,,,68,56,3,"",""
1946-12-22,1947,0,,CHS,DTF,1341.2368,1296.0708,0.697546718893352,0.30245328110664804,1344.2667,1293.0409,,,,,,,,,,,95,92,0,"",""
1946-12-22,1947,0,,CLR,PIT,1316.9688,1224.4557,0.751792354549102,0.24820764545089802,1305.7284,1235.696,,,,,,,,,,,74,78,0,"",""
1946-12-22,1947,0,,STB,BOS,1315.0287,1221.1678,0.7532372766968634,0.24676272330313664,1320.0004,1216.1962,,,,,,,,,,,65,53,0,"",""
1946-12-23,1947,0,,PIT,BOS,1235.696,1216.1962,0.6654987504841997,0.3345012495158003,1242.0328,1209.8594,,,,,,,,,,,64,54,0,"",""
1946-12-26,1947,0,,PHW,PIT,1307.2515,1242.0328,0.7213313759545628,0.27866862404543724,1311.3928,1237.8915,,,,,,,,,,,53,46,0,"",""
1946-12-26,1947,0,,PRO,WSC,1272.7605,1425.8375,0.4242047785005551,0.5757952214994448,1263.2903,1435.3077,,,,,,,,,,,66,78,1,"",""
1946-12-26,1947,0,,STB,DTF,1320.0004,1293.0409,0.6749890578616762,0.3250109421383238,1323.7323,1289.309,,,,,,,,,,,55,51,0,"",""
1946-12-27,1947,0,,BOS,PHW,1209.8594,1311.3928,0.49779327433960985,0.5022067256603902,1204.3003,1316.9519,,,,,,,,,,,60,63,0,"",""
1946-12-27,1947,0,,TRH,CHS,1242.9735,1344.2667,0.4981389441930862,0.5018610558069139,1233.9374,1353.3029,,,,,,,,,,,80,88,0,"",""
1946-12-28,1947,0,,PRO,BOS,1263.2903,1204.3003,0.7140671494576903,0.28593285054230966,1269.1937,1198.3969,,,,,,,,,,,80,68,0,"",""
1946-12-28,1947,0,,WSC,NYK,1435.3077,1336.2484,0.7587571095023982,0.24124289049760184,1442.3615,1329.1947,,,,,,,,,,,70,49,6,"",""
1946-12-29,1947,0,,CLR,CHS,1305.7284,1353.3029,0.5748789236020695,0.4251210763979305,1294.8324,1364.1989,,,,,,,,,,,79,87,1,"",""
1946-12-29,1947,0,,DTF,TRH,1289.309,1233.9374,0.7097954529498202,0.29020454705017984,1279.0566,1244.1897,,,,,,,,,,,48,52,0,"",""
1946-12-29,1947,0,,STB,PHW,1323.7323,1316.9519,0.6490070389388387,0.3509929610611613,1329.1732,1311.511,,,,,,,,,,,75,68,0,"",""
1946-12-30,1947,0,,BOS,WSC,1198.3969,1442.3615,0.30391433733294976,0.6960856626670502,1192.7406,1448.0177,,,,,,,,,,,60,70,0,"",""
1946-12-30,1947,0,,PIT,PHW,1237.8915,1311.511,0.5378918007994219,0.4621081992005781,1232.5814,1316.821,,,,,,,,,,,60,62,0,"",""
1946-12-31,1947,0,,CLR,STB,1294.8324,1329.1732,0.5933821288157279,0.40661787118427206,1282.6403,1341.3654,,,,,,,,,,,59,68,0,"",""
1946-12-31,1947,0,,TRH,CHS,1244.1897,1364.1989,0.4712362400395604,0.5287637599604396,1255.3428,1353.0458,,,,,,,,,,,86,76,0,"",""
1947-01-01,1947,0,,CHS,STB,1353.0458,1341.3654,0.6554051151372258,0.34459488486277423,1335.4089,1359.0022,,,,,,,,,,,90,103,2,"",""
1947-01-01,1947,0,,DTF,WSC,1279.0566,1448.0177,0.4020400658186286,0.5979599341813714,1287.9642,1439.1101,,,,,,,,,,,62,57,3,"",""
1947-01-01,1947,0,,PIT,CLR,1232.5814,1282.6403,0.5713800830330026,0.4286199169669974,1217.9967,1297.225,,,,,,,,,,,48,61,0,"",""
1947-01-02,1947,0,,PHW,PRO,1316.821,1269.1937,0.7005275045541203,0.2994724954458797,1323.0543,1262.9604,,,,,,,,,,,84,72,0,"",""
1947-01-02,1947,0,,STB,WSC,1359.0022,1439.1101,0.5285957939677776,0.47140420603222244,1368.0355,1430.0768,,,,,,,,,,,66,57,9,"",""
1947-01-03,1947,0,,TRH,BOS,1255.3428,1192.7406,0.7182937010190074,0.28170629898099264,1243.7212,1204.3622,,,,,,,,,,,53,58,0,"",""
1947-01-04,1947,0,,DTF,NYK,1287.9642,1329.1947,0.5837785915984891,0.4162214084015109,1273.708,1343.4509,,,,,,,,,,,50,62,0,"",""
1947-01-04,1947,0,,PRO,PHW,1262.9604,1323.0543,0.5571782721150613,0.4428217278849387,1268.3883,1317.6265,,,,,,,,,,,78,74,0,"",""
